lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m
14.45974137,121.014099,2.0,16.3009853363,7.0,False,1,Low (0–0.5m),1.487028656131886
14.7132999,120.9345661,2.0,2.20588588715,10.0,False,1,Low (0–0.5m),217.54073997933807
14.70572454,120.9421299,2.0,2.59353971481,10.0,False,1,Low (0–0.5m),127.84218581942926
14.69903102,120.9461103,2.0,2.41740679741,9.0,False,1,Low (0–0.5m),231.73267645722655
14.710083,120.9365724,2.0,2.38002634048,10.0,False,1,Low (0–0.5m),266.46500615093925
14.70921131,120.9372912,2.0,2.49110198021,10.0,False,1,Low (0–0.5m),280.8268599245126
14.71306123,120.9347807,2.0,2.20588588715,10.0,False,1,Low (0–0.5m),219.4438572597083
14.71209616,120.9350704,2.0,2.27845644951,10.0,False,1,Low (0–0.5m),267.93025923370584
14.54195493,121.0079138,2.0,9.19062900543,7.0,True,2,Medium (>0.5–1.5m),0.0
14.49946529,121.0309379,2.0,24.4821472168,7.0,False,1,Low (0–0.5m),50.61894792727592
14.63577496,121.0182081,2.0,17.0525283813,8.0,True,2,Medium (>0.5–1.5m),0.0
14.64342541,121.0378204,2.0,42.5605926514,9.0,True,2,Medium (>0.5–1.5m),0.0
14.63067798,121.0246132,2.0,28.0866184235,8.0,True,2,Medium (>0.5–1.5m),0.0
14.54194548,121.0079031,2.0,9.19062900543,7.0,True,2,Medium (>0.5–1.5m),0.0
14.58236884,121.0895549,2.0,8.70037174225,11.0,True,2,Medium (>0.5–1.5m),0.0
14.46034134,120.9704112,2.0,8.06494426727,6.0,True,2,Medium (>0.5–1.5m),0.0
14.61183836,120.9863274,2.0,8.70633411407,8.0,True,2,Medium (>0.5–1.5m),0.0
14.61150095,120.9873734,2.0,8.62410545349,8.0,True,2,Medium (>0.5–1.5m),0.0
14.61125697,120.9870891,2.0,8.88408088684,8.0,True,1,Low (0–0.5m),0.0
14.61005267,120.9862255,2.0,9.33220100403,8.0,True,2,Medium (>0.5–1.5m),0.0
14.71979761,120.9693861,2.0,7.57837438583,10.0,True,2,Medium (>0.5–1.5m),0.0
14.72208047,120.9691715,2.0,7.7080655098,10.0,True,2,Medium (>0.5–1.5m),0.0
14.72003108,120.9685546,2.0,7.30823421478,10.0,True,2,Medium (>0.5–1.5m),0.0
14.63592549,120.9822987,2.0,12.6352062225,8.0,True,3,High (>1.5m),0.0
14.40582381,120.9078889,2.0,14.5260343552,6.0,False,3,High (>1.5m),8286.85033412868
14.40561339,120.9080793,2.0,14.5260343552,6.0,False,3,High (>1.5m),8280.087294289206
14.40572769,120.9074731,2.0,14.5260343552,6.0,False,3,High (>1.5m),8332.703123085752
14.40586798,120.9070359,2.0,14.4221334457,6.0,False,3,High (>1.5m),8367.606727320539
14.40872043,120.9044503,2.0,13.2452535629,6.0,False,3,High (>1.5m),8473.803056776193
14.4062057,120.9108768,2.0,14.4762706757,6.0,False,3,High (>1.5m),7975.569740089343
14.65455067,121.0351089,3.0,40.4973678589,9.0,True,1,Low (0–0.5m),0.0
14.63281087,121.0567061,3.0,45.2805252075,9.0,True,2,Medium (>0.5–1.5m),0.0
14.69423373,121.0438997,3.0,57.3755760193,11.0,True,1,Low (0–0.5m),0.0
14.65316602,121.0523604,3.0,50.6106567383,9.0,True,1,Low (0–0.5m),0.0
