lat,lon,flood_height,elevation,precipitation,in_zone,hazard_code,hazard_level,proximity_m,nearest_river_name,nearest_river_lon,nearest_river_lat,dist_to_nearest_water_m
14.61066001,120.9872903,0.0,8.62410545349,8.0,True,2,Medium (>0.5–1.5m),0.0,Unnamed,120.99347657083558,14.613186832448994,722.913082036877
14.68471453,121.0257286,0.0,35.59765625,10.0,True,1,Low (0–0.5m),0.0,Unnamed,121.0220046598918,14.691370435794374,838.7193157977616
14.57464229,121.0092495,0.0,8.03537750244,7.0,False,1,Low (0–0.5m),6.549876984743321,Pasig  River,121.00827677973977,14.582538201046866,880.0548730954398
14.57530424,121.0098799,0.0,8.03537750244,8.0,True,1,Low (0–0.5m),0.0,Pasig  River,121.01563762737493,14.580007615887334,809.9325907410372
14.57574554,121.0094051,0.0,7.89131116867,8.0,True,1,Low (0–0.5m),0.0,Pasig  River,121.00856415781143,14.582571781413886,760.8325419234355
14.7519308,120.9542645,0.0,7.12374591827,11.0,False,2,Medium (>0.5–1.5m),2115.4670035153936,Unnamed,120.95134115396353,14.75269319935382,325.9394154431364
14.75236137,120.952226,0.0,6.69640541077,11.0,False,2,Medium (>0.5–1.5m),2116.3641531263147,Unnamed,120.95131518559283,14.752598902856441,101.55140374103286
14.35745319,121.0572052,0.0,11.5457544327,12.0,False,1,Low (0–0.5m),2305.852579504284,Unnamed,121.06063719781241,14.352652060841432,647.5704453096297
14.62353318,121.1178549,0.0,14.4303712845,14.0,False,1,Low (0–0.5m),1381.8992287716098,Unnamed,121.11595094770377,14.618082907834195,637.0476497083255
14.57479804,120.9834628,0.0,11.9547481537,8.0,True,1,Low (0–0.5m),0.0,Unnamed,120.99226514383179,14.579018445335487,1057.437958852869
14.62154625,121.1104721,0.0,12.8605651855,14.0,False,1,Low (0–0.5m),614.0032788535035,Unnamed,121.11169256613503,14.621584047587822,131.57096021505777
14.61172899,121.023315,0.0,11.4918403625,8.0,True,3,High (>1.5m),0.0,Unnamed,121.02105180437162,14.612613155511653,262.77578042892503
14.40675203,120.9438237,0.0,20.7598991394,7.0,False,3,High (>1.5m),5017.260397744216,Unnamed,120.94438902066534,14.40689502188479,62.997388351204705
14.42190457,120.946237,0.0,15.2843694687,6.0,False,3,High (>1.5m),3669.3169450490022,Unnamed,120.94633333193802,14.421946996020257,11.401589349575184
